id,industry,is_local,visibility_score,visibility_tier,model_count,chatgpt_mentioned,perplexity_mentioned,gemini_mentioned,claude_mentioned,google_aio_mentioned,recommendation_count,blocks_ai_crawlers,robots_score,has_schema_markup,schema_is_ssr,schema_score,citability_score,has_faq_content,has_comparison_content,sitemap_exists,total_indexed_pages,blog_post_count,google_review_count,google_review_rating,has_llms_txt,has_llms_full_txt
BIZ_0001,accounting,true,41,moderate,1,false,true,false,false,false,6,false,100,false,false,0,58,false,false,false,0,0,2000,4.8,,
BIZ_0002,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,,,,false,0,0,25,4.6,,
BIZ_0003,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,55,false,false,false,0,0,17,4.7,,
BIZ_0004,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,true,true,8,0,12,4.8,,
BIZ_0005,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,true,true,2537,1661,18,4.7,,
BIZ_0006,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,45,false,false,true,1279,639,35,4.6,,
BIZ_0007,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,52,false,false,false,0,0,22,4.5,,
BIZ_0008,accounting,true,45,moderate,3,true,false,true,true,false,9,false,100,false,false,0,,,,false,0,0,60,4.8,,
BIZ_0009,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,56,false,true,true,447,3,14,4.9,,
BIZ_0010,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,40,false,false,false,0,0,12,4.9,,
BIZ_0011,accounting,true,43,moderate,3,true,true,true,false,false,8,false,100,true,true,100,49,false,false,false,0,0,150,4.5,,
BIZ_0012,accounting,true,43,moderate,3,true,true,true,false,false,8,false,100,true,true,100,44,false,false,true,2664,428,120,4.4,,
BIZ_0013,accounting,true,47,moderate,3,true,false,true,true,false,13,false,100,true,true,100,57,false,false,false,0,0,250,4.3,,
BIZ_0014,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,39,false,false,false,0,0,22,4.6,,
BIZ_0015,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,38,false,false,true,53,36,55,4.7,,
BIZ_0016,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,61,false,false,true,46,2,31,4.6,,
BIZ_0017,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,52,false,false,true,90,2,22,4.8,,
BIZ_0018,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,54,false,false,true,11,0,8,4.5,,
BIZ_0019,accounting,true,26,moderate,3,false,true,true,false,true,2,false,100,true,true,100,48,false,false,false,0,0,75,4.6,,
BIZ_0020,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,42,false,false,false,0,0,15,4.4,,
BIZ_0021,accounting,true,36,moderate,1,false,false,false,true,false,3,false,100,false,false,0,57,false,false,false,0,0,24,4.6,,
BIZ_0022,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,61,true,false,false,0,0,20,4.7,,
BIZ_0023,accounting,true,40,moderate,2,false,true,false,false,true,13,false,100,true,true,100,56,false,false,false,0,0,80,4.7,,
BIZ_0024,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,36,false,false,false,0,0,40,4.7,,
BIZ_0025,accounting,true,39,moderate,1,false,false,false,true,false,6,false,100,false,false,0,62,false,false,false,0,0,70,4.5,,
BIZ_0026,accounting,true,43,moderate,1,false,true,false,false,false,7,false,100,true,true,100,48,true,false,false,0,0,10,5,,
BIZ_0027,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,70,true,false,true,97,1,42,4.7,,
BIZ_0028,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,,,,false,0,0,110,4.4,,
BIZ_0029,accounting,true,60,high,5,true,true,true,true,true,30,false,100,true,true,100,58,false,false,false,0,0,1500,4.2,,
BIZ_0030,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,52,false,false,true,44,0,21,4.4,,
BIZ_0031,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,,,,false,0,0,11,4.6,,
BIZ_0032,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,44,true,false,true,137,50,13,4.7,,
BIZ_0033,accounting,true,34,moderate,1,false,true,false,false,false,6,false,100,true,true,100,50,false,false,false,0,0,35,4.8,,
BIZ_0034,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,52,false,false,false,0,0,65,4.5,,
BIZ_0035,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,true,true,100,60,false,true,true,57,0,30,4.7,,
BIZ_0036,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,52,false,false,true,123,0,36,4.6,,
BIZ_0037,accounting,true,58,high,5,true,true,true,true,true,24,false,100,false,false,0,55,false,false,false,0,0,1000,4.4,,
BIZ_0038,accounting,true,66,high,5,true,true,true,true,true,38,false,100,false,false,0,55,false,false,false,0,0,500,4.4,,
BIZ_0039,accounting,true,6,low,1,false,true,false,false,false,0,false,100,true,true,100,52,false,false,true,392,356,25,4.8,,
BIZ_0040,accounting,true,28,moderate,1,false,true,false,false,false,4,false,100,false,false,0,,,,false,0,0,28,4.9,,
BIZ_0041,accounting,true,0,invisible,0,false,false,false,false,false,0,true,45,true,true,100,49,false,true,true,868,756,19,4.6,,
BIZ_0042,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,44,false,false,false,0,0,30,4.7,,
BIZ_0043,accounting,true,42,moderate,1,false,true,false,false,false,7,false,100,true,true,100,,,,false,0,0,31,4.8,,
BIZ_0044,accounting,true,50,moderate,4,true,true,true,false,true,19,false,100,true,true,100,34,false,false,true,288,0,40,4.7,,
BIZ_0045,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,,,,false,0,0,44,4.7,,
BIZ_0046,accounting,true,32,moderate,3,false,true,true,true,false,5,false,100,false,false,0,33,false,false,false,0,0,300,4.5,,
BIZ_0047,accounting,true,50,moderate,3,true,false,true,true,false,19,false,100,true,true,100,34,false,false,true,288,0,45,4.8,,
BIZ_0048,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,true,false,0,0,16,4.8,,
BIZ_0049,accounting,true,42,moderate,2,true,false,false,true,false,9,false,100,true,true,100,50,false,false,false,0,0,38,4.6,,
BIZ_0050,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,50,false,false,true,11,0,26,4.9,,
BIZ_0051,accounting,true,65,high,4,true,true,true,false,true,40,false,100,true,true,100,36,false,false,true,483,0,90,4.8,,
BIZ_0052,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,true,false,false,0,0,19,4.5,,
BIZ_0053,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,47,false,true,false,0,0,29,4.8,,
BIZ_0054,accounting,true,53,high,3,true,false,true,true,false,20,false,100,true,true,100,36,false,false,true,483,0,50,4.7,,
BIZ_0055,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,67,true,true,true,994,771,50,4.9,,
BIZ_0056,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,45,false,false,false,0,0,10,4.6,,
BIZ_0057,accounting,true,7,low,1,false,true,false,false,false,0,false,100,true,true,100,,,,false,0,0,18,4.8,,
BIZ_0058,accounting,true,54,high,5,true,true,true,true,true,21,false,100,true,true,100,57,false,false,false,0,0,800,4.2,,
BIZ_0059,accounting,true,35,moderate,1,false,true,false,false,false,1,false,100,true,true,100,45,false,false,true,40,0,15,5,,
BIZ_0060,accounting,true,21,moderate,1,false,true,false,false,false,3,false,100,false,false,0,53,false,false,true,26,0,18,4.5,,
BIZ_0061,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,true,false,0,0,27,4.6,,
BIZ_0062,accounting,true,7,low,1,false,true,false,false,false,0,true,45,true,true,100,58,false,false,true,103,0,22,4.7,,
BIZ_0063,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,53,false,false,false,0,0,10,4.5,,
BIZ_0064,accounting,true,37,moderate,1,false,false,true,false,false,4,false,100,true,true,100,53,false,false,false,0,0,95,4.7,,
BIZ_0065,accounting,true,23,moderate,2,false,true,false,false,true,3,false,100,true,true,100,46,false,false,true,2160,29,55,4.8,,
BIZ_0066,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,53,false,false,false,0,0,12,4.9,,
BIZ_0067,accounting,true,60,high,3,true,false,true,true,false,36,false,100,true,true,100,48,false,true,true,3836,2881,180,4.6,,
BIZ_0068,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,70,true,false,true,20,7,20,4.8,,
BIZ_0069,accounting,true,23,moderate,1,false,false,true,false,false,1,false,100,true,true,100,56,false,false,true,320,1,60,4.9,,
BIZ_0070,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,54,false,false,true,19,0,25,4.5,,
